pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,date,pages_change,edits_change,activeusers_change,word_count,word_count_change
3514,1313,8516,1774,654061,4,3,0,86937,2026-02-03,0,0,0,,0
3514,1313,8516,1774,654061,4,3,0,86937,2026-02-04,0,0,0,,0
3515,1314,8526,1774,654061,4,3,0,87084,2026-02-05,1,10,0,,0
3583,1380,8649,1774,654061,4,3,0,87084,2026-02-06,68,123,0,,0
3587,1381,8664,1774,654061,4,3,0,91061,2026-02-07,4,15,0,,0
3587,1381,8664,1774,654061,4,3,0,91061,2026-02-08,0,0,0,,0
3588,1381,8665,1774,654061,4,3,0,91061,2026-02-09,1,1,0,,0
3588,1381,8665,1774,654061,4,3,0,91061,2026-02-10,0,0,0,,0
3588,1381,8665,1774,654061,4,3,0,91061,2026-02-11,0,0,0,,0
3588,1381,8669,1774,654061,4,3,0,91061,2026-02-12,0,4,0,0.0,0
3590,1381,8681,1775,654061,4,3,0,91115,2026-02-13,2,12,0,0.0,0
3590,1381,8682,1775,654061,4,3,0,91115,2026-02-14,0,1,0,0.0,0
3595,1384,8698,1776,654061,4,3,0,91406,2026-02-15,5,16,0,0.0,0
3595,1384,8698,1776,654061,4,3,0,91406,2026-02-16,0,0,0,0.0,0
3596,1384,8702,1776,654061,3,3,0,91406,2026-02-17,1,4,-1,0.0,0
3598,1384,8715,1777,654061,3,3,0,91379,2026-02-18,2,13,0,0.0,0
3598,1384,8723,1777,654061,3,3,0,91617,2026-02-19,0,8,0,0.0,0
3598,1384,8723,1777,654061,3,3,0,91617,2026-02-20,0,0,0,0.0,0
3598,1384,8723,1777,654061,3,3,0,91617,2026-02-21,0,0,0,0.0,0
3599,1384,8731,1778,654061,3,3,0,91655,2026-02-22,1,8,0,0.0,0
3599,1384,8731,1778,654061,3,3,0,91655,2026-02-23,0,0,0,0.0,0
3599,1384,8733,1778,654061,3,3,0,91655,2026-02-24,0,2,0,0.0,0
3599,1384,8734,1778,654061,3,3,0,91686,2026-02-25,0,1,0,0.0,0
3599,1384,8734,1778,654061,3,3,0,91686,2026-02-26,0,0,0,0.0,0
3599,1384,8734,1778,654061,3,3,0,91686,2026-02-27,0,0,0,0.0,0
3599,1384,8734,1778,654061,3,3,0,91686,2026-02-28,0,0,0,0.0,0
3601,1384,8740,1778,654061,3,3,0,91686,2026-03-01,2,6,0,0.0,0
3605,1386,8777,1778,654061,3,3,0,91686,2026-03-02,4,37,0,0.0,0
3605,1386,8777,1778,654061,3,3,0,91872,2026-03-03,0,0,0,0.0,0
3605,1386,8777,1778,654061,3,3,0,91872,2026-03-04,0,0,0,0.0,0
3605,1386,8778,1778,654061,2,3,0,91922,2026-03-05,0,1,-1,0.0,0
